id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;code_main_protein;group_level_1
14788;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-02-26;z-campusteller;Lager Küche Ring;59,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14793;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-03-03;z-campusteller;Lager Küche Ring;59,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
14903;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-05-07;z-campusteller;Lager Küche Ring;53,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
14907;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-05-11;z-campusteller;Lager Küche Ring;75,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
15009;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-07-14;z-campusteller;Lager Küche Ring;103,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
15021;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-07-21;z-campusteller;Lager Küche Ring;108,00;haehnchenbruststeak in sesamkruste mi;haehnchenbrust in sesamkruste mit basilikumsosse dazu pfannengemuese und gnocchi (3 15 19 21 23 49 54 81);gefluegel, samen, knollen, gemuese;gefluegel;omnivor
15150;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2021-09-24;z-campusteller;Lager Küche Ring;57,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17369;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2015-06-19;essen ii/iii/iv(topsell);NA;109,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17504;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2015-10-23;essen ii/iii/iv(topsell);NA;135,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17596;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2015-12-11;essen ii/iii/iv(topsell);NA;118,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
17685;Chemnitz-Zwickau;Zwickau Mensa Scheffelberg;Chemnitz-Zwickau/LINSE_Zwickau-Mensa-Scheffelberg.xlsx;2016-02-12;essen ii/iii/iv(topsell);NA;35,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch, gemuese, knollen;rotes_fleisch;omnivor
